,d=0.1,d=0.15,d=0.2,d=0.25,d=0.3,d=0.5
dim=10,0.008125482797622681,0.01116148591041565,0.018601919412612914,0.020182150602340698,0.02360455870628357,0.027591309547424316
dim=20,0.041218125820159913,0.06434007883071899,0.14699199438095092,0.20860185146331786,0.28822417378425597,0.3661051774024963
dim=30,0.09581091403961181,0.19228973984718323,0.501797400712967,0.9646735095977783,1.265326498746872,1.7757255375385284
dim=40,0.18158367156982422,0.44726486921310427,1.2973374032974243,2.770875327587128,3.8165005445480347,5.791174437999725
dim=50,0.2731269383430481,0.7017092895507813,2.810102331638336,6.4016903567314145,8.93717550754547,13.768566007614135
