,d=0.1,d=0.15,d=0.2,d=0.25,d=0.3,d=0.5
dim=10,0.9715000000000008,0.9393333333333339,0.8649999999999999,0.8021999999999998,0.7296666666666666,0.5265999999999998
dim=20,0.9954999999999989,0.981833333333332,0.9421250000000003,0.8641,0.7852499999999999,0.5554250000000002
dim=30,0.9997222222222223,0.9936296296296281,0.9624444444444437,0.8871555555555558,0.801240740740741,0.5620000000000003
dim=40,1.0071250000000003,1.0022083333333334,0.97515625,0.9063499999999998,0.8155625000000002,0.5637125000000001
dim=50,1.00888,1.005119999999999,0.9826199999999993,0.9105439999999999,0.8224000000000001,0.5718000000000001
