,RuleOne,RuleTwo,diff
0,3413.633333333333,5825.033333333334,-2411.4000000000005
1,6070.766666666666,4620.866666666667,1449.8999999999996
2,4080.3,4918.0,-837.6999999999998
3,8716.7,5389.533333333334,3327.166666666667
4,5552.833333333333,6677.766666666666,-1124.9333333333334
5,7149.533333333334,5095.966666666666,2053.5666666666675
6,7182.766666666666,4693.633333333333,2489.133333333333
7,4946.033333333334,4517.033333333334,429.0
8,5595.8,3647.1666666666665,1948.6333333333337
9,5111.566666666667,3155.7,1955.8666666666668
10,6240.7,5861.366666666667,379.33333333333303
11,6571.166666666667,5097.3,1473.8666666666668
12,7043.4,5459.533333333334,1583.8666666666659
13,4751.366666666667,5772.0,-1020.6333333333332
14,5478.533333333334,4268.566666666667,1209.9666666666672
15,10267.533333333333,5658.6,4608.9333333333325
16,5242.533333333334,4665.533333333334,577.0
17,6680.233333333334,4919.3,1760.9333333333334
18,5518.9,6002.0,-483.10000000000036
19,8333.833333333334,4605.433333333333,3728.4000000000005
20,7014.233333333334,4817.5,2196.7333333333336
21,8542.5,6593.233333333334,1949.2666666666664
22,3803.6666666666665,4400.4,-596.7333333333331
23,5583.8,5261.566666666667,322.2333333333336
24,6247.4,3548.266666666667,2699.1333333333328
25,7103.633333333333,8036.333333333333,-932.6999999999998
26,4167.0,4051.9666666666667,115.0333333333333
27,7507.5,6490.3,1017.1999999999998
28,4754.466666666666,4525.233333333334,229.23333333333267
29,8191.8,7201.233333333334,990.5666666666666
30,5571.466666666666,5360.333333333333,211.1333333333332
31,6987.6,7584.1,-596.5
32,6041.333333333333,3614.9666666666667,2426.3666666666663
33,6459.433333333333,2979.266666666667,3480.1666666666665
34,6893.566666666667,5821.633333333333,1071.9333333333334
35,7663.1,5471.933333333333,2191.166666666667
36,7189.166666666667,2999.9,4189.266666666666
37,5137.3,5814.466666666666,-677.1666666666661
38,8158.733333333334,5803.8,2354.9333333333334
39,7342.6,5241.766666666666,2100.833333333334
40,7485.166666666667,5084.233333333334,2400.9333333333334
41,7212.466666666666,3227.0666666666666,3985.3999999999996
42,5438.466666666666,2747.6666666666665,2690.7999999999997
43,5507.933333333333,5198.0,309.9333333333334
44,6367.566666666667,5797.033333333334,570.5333333333328
45,4476.733333333334,4272.866666666667,203.8666666666668
46,7140.6,3923.133333333333,3217.466666666667
47,4156.7,5189.466666666666,-1032.7666666666664
48,4111.133333333333,5423.533333333334,-1312.4000000000005
49,6959.833333333333,4395.366666666667,2564.4666666666662
